feature,original_name,bankrupt_mean,healthy_mean,difference,p_value
F17,Net Value Per Share (B),0.1604163713746116,0.19166887253990908,-0.031252501165297486,2.7056300584815055e-61
F18,Net Value Per Share (A),0.1603010638175612,0.1916444026884678,-0.031343338870906595,8.19542519723058e-61
F19,Net Value Per Share (C),0.16045908497132627,0.1916796323780298,-0.03122054740670352,7.525620052925384e-60
F24,Per Share Net profit before tax (Yuan Â¥),0.14776544537032602,0.1855806002363319,-0.037815154866005896,5.367305963201981e-52
F39,Net worth/Assets,0.8129529719909742,0.8892856195985285,-0.07633264760755432,6.741965377083666e-52
F38,Debt ratio %,0.18704702800902576,0.11071438040147158,0.07633264760755418,6.741965377085107e-52
F20,Persistent EPS in the Last Four Seasons,0.18881793256379625,0.23014621858970755,-0.04132828602591129,2.1728362521766306e-51
F44,Net profit before tax/Paid-in capital,0.14767249830329535,0.18388329044514898,-0.03621079214185363,4.525273809637171e-51
F02,ROA(C) before interest and depreciation before interest,0.41850334377756016,0.5080692807159637,-0.08956593693840353,7.042945688823481e-40
F55,Working Capital to Total Assets,0.7516808358058246,0.8162069634997345,-0.06452612769390997,6.896913791715597e-38
F04,ROA(B) before interest and depreciation after tax,0.4614834841265592,0.5566593487742332,-0.09517586464767397,1.3267487186805149e-36
F03,ROA(A) before interest and % after tax,0.45694678468064853,0.5620147005185935,-0.10506791583794495,1.074020487319547e-33
F61,Current Liability to Assets,0.1442380840453663,0.0888870143456048,0.055351069699761515,1.0921343668061336e-32
F69,Retained Earnings to Total Assets,0.9042436956980163,0.9357492100831155,-0.03150551438509919,9.355340117777176e-30
F87,Net Income to Total Assets,0.7380834792718128,0.8100831300180976,-0.07199965074628478,1.64929397854464e-29
F85,Current Liability to Current Assets,0.0604430622812534,0.030541663029235132,0.02990139925201827,7.036230478423832e-18
F41,Borrowing dependency,0.3904001046785497,0.3741293547263847,0.016270749952164987,0.0010676240016789648
F92,Liability to Equity,0.29357776093181887,0.27992466685632783,0.013653094075491035,0.0034502534303012243
F91,Net Income to Stockholder's Equity,0.8260079354600965,0.8408819416444057,-0.014874006184309119,0.003963352757409465
F67,Current Liabilities/Equity,0.3427724798883023,0.33103098724531244,0.011741492642989848,0.00782260135423324
